# Node_Start	Node_End
0	48
0	64
0	16
1	1288
1	311
2	18
2	49
2	34
2	66
3	742
3	127
3	19
3	51
4	408
4	655
5	195
5	620
6	901
6	726
7	211
7	422
7	366
7	341
8	916
8	888
8	487
9	1767
9	1472
9	1673
10	1653
10	792
10	1065
11	215
11	580
12	28
12	383
12	90
13	793
13	738
13	203
14	1216
14	763
14	609
15	336
15	310
15	163
16	80
16	178
17	220
17	65
17	49
18	65
18	459
19	127
19	432
19	35
20	466
20	82
20	457
21	1163
21	1654
22	1370
22	1366
22	1230
23	289
23	389
23	155
24	743
24	1021
25	712
25	1861
25	812
25	1300
26	1079
26	1816
26	1798
26	1695
27	43
27	332
27	358
27	634
28	118
28	229
29	762
29	1059
29	456
29	563
30	654
30	483
30	1126
31	63
31	336
31	284
32	732
32	439
32	64
33	165
33	151
33	81
33	193
34	750
34	50
35	67
35	51
36	386
36	565
36	673
37	1211
37	907
37	802
38	594
38	314
38	824
39	411
39	389
39	155
40	86
40	142
40	832
41	798
41	952
41	1111
42	1876
42	642
42	1172
42	1726
43	201
43	571
44	268
44	714
44	1251
44	146
45	738
45	203
45	1045
45	1245
46	913
46	1025
46	1120
47	232
48	150
48	80
49	324
50	51
50	66
52	664
52	448
53	299
53	222
53	1417
53	942
54	1110
54	1242
54	880
55	197
55	169
56	860
56	896
56	1628
56	818
57	1371
57	1664
57	1472
58	1037
58	116
58	471
59	463
59	598
59	306
60	255
61	189
61	343
115	61
62	361
62	1039
63	763
63	297
63	672
64	108
65	311
66	137
67	400
67	250
68	260
68	390
68	475
69	1409
69	1672
69	1627
69	991
70	1422
70	1418
70	1378
71	197
71	276
71	422
72	367
72	1171
73	1395
73	1873
73	101
74	777
74	534
74	729
75	393
75	254
75	508
75	688
76	281
76	394
76	909
77	1031
77	926
77	473
78	1066
78	204
78	1267
78	739
79	323
79	135
80	122
81	95
81	311
81	207
82	655
82	493
83	1486
83	1447
1441	83
83	802
84	1406
84	1020
84	1200
85	169
85	211
85	328
85	315
86	355
86	972
86	212
87	1761
87	1189
87	569
88	1452
88	403
88	1844
88	1002
89	499
89	526
90	320
90	307
91	877
91	282
91	1179
91	509
92	663
